IP: ::ffff:127.0.0.1, Method: GET, Endpoint: /
IP: ::ffff:127.0.0.1, Method: GET, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: GET, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: GET, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: GET, Endpoint: /assignments/5
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
IP: ::ffff:127.0.0.1, Method: POST, Endpoint: /assignments/
